# wavelength (nm), QE 
2986.710963,0.030868167
3079.734219,0.072025723
3159.468439,0.120900322
3252.491694,0.164630225
3345.51495,0.205787781
3411.960133,0.241800643
3491.694352,0.270096463
3584.717608,0.303536977
3637.873754,0.336977492
3691.0299,0.370418006
3730.89701,0.401286174
3770.76412,0.432154341
3823.920266,0.452733119
3877.076412,0.483601286
3943.521595,0.511897106
4036.54485,0.540192926
4102.990033,0.565916399
4169.435216,0.596784566
4249.169435,0.625080386
4342.192691,0.653376206
4448.504983,0.673954984
4568.106312,0.691961415
4674.418605,0.691961415
4754.152824,0.691961415
4847.17608,0.704823151
4953.488372,0.712540193
5073.089701,0.707395498
5139.534884,0.727974277
5259.136213,0.730546624
5352.159468,0.735691318
5445.182724,0.730546624
5578.07309,0.727974277
5657.807309,0.712540193
5737.541528,0.704823151
5843.853821,0.699678457
5936.877076,0.684244373
5950.166113,0.679099678
6043.189369,0.681672026
6122.923588,0.668810289
6215.946844,0.6585209
6282.392027,0.637942122
6388.704319,0.637942122
6468.438538,0.619935691
6548.172757,0.607073955
6601.328904,0.589067524
6654.48505,0.576205788
6760.797342,0.563344051
6840.531561,0.547909968
6920.265781,0.537620579
7000,0.519614148
7066.445183,0.496463023
7119.601329,0.483601286
7186.046512,0.465594855
7239.202658,0.445016077
7292.358804,0.427009646
7372.093023,0.419292605
7411.960133,0.41414791
7465.116279,0.409003215
7491.694352,0.38585209
7544.850498,0.372990354
7598.006645,0.360128617
7664.451827,0.349839228
7730.89701,0.339549839
7810.631229,0.321543408
7877.076412,0.318971061
7916.943522,0.295819936
7983.388704,0.277813505
8036.54485,0.264951768
8102.990033,0.257234727
8169.435216,0.252090032
8209.302326,0.24437299
8275.747508,0.239228296
8355.481728,0.223794212
8421.92691,0.210932476
8501.66113,0.19807074
8554.817276,0.185209003
8621.262458,0.172347267
8674.418605,0.164630225
8727.574751,0.154340836
8807.30897,0.149196141
8860.465116,0.1414791
8940.199336,0.133762058
8980.066445,0.126045016
9073.089701,0.11318328
9166.112957,0.102893891
9232.55814,0.092604502
9325.581395,0.082315113
9392.026578,0.077170418
9445.182724,0.072025723
9538.20598,0.066881029
9631.229236,0.05659164
9697.674419,0.054019293
9777.408638,0.046302251
9910.299003,0.036012862
10016.6113,0.030868167
10149.50166,0.020578778
10269.10299,0.018006431
10441.86047,0.010289389
10561.46179,0.005144695
10694.35216,0.005144695
10827.24252,0.005144695
